iteration,l1_loss,ssim,total_loss,ema_loss,num_gaussians
14300,0.2432866,0.4689386,0.3583965,0.2585892,633559
14400,0.0757223,0.5840045,0.2118316,0.1815499,633559
14500,0.1192750,0.6097265,0.2276744,0.2048021,633559
14600,0.0955549,0.5344443,0.2435552,0.2551110,633559
14700,0.1046087,0.4785554,0.2713431,0.2376781,633559
14800,0.1215771,0.5571612,0.2500818,0.2183949,633559
14900,0.1160840,0.6007862,0.2293359,0.2253566,633559
15000,0.1304407,0.3295154,0.3464583,0.3067016,633559
15100,0.0629882,0.7626421,0.1327361,0.1930319,633559
15200,0.0710815,0.6565017,0.1800483,0.2181444,633559
15300,0.0753426,0.7244464,0.1554270,0.1947228,633559
15400,0.1052525,0.3386395,0.3276957,0.2615585,633559
15500,0.1240128,0.3008464,0.3540691,0.2978668,633559
15600,0.0689676,0.8127217,0.1162918,0.1669373,655615
15700,0.1336357,0.5118793,0.2754297,0.2051381,655615
15800,0.0985021,0.6449069,0.2011385,0.2280493,655615
15900,0.0535704,0.8977624,0.0730373,0.1461856,655615
16000,0.1018446,0.6675929,0.1940696,0.2041704,655615
16100,0.0781799,0.7818438,0.1341704,0.1871994,655615
16200,0.1107777,0.5418172,0.2497397,0.2661414,655615
16300,0.0870462,0.6784136,0.1808623,0.1979421,655615
16400,0.1261471,0.4645232,0.2898790,0.2108042,655615
16500,0.1158179,0.4625087,0.2844873,0.2923861,655615
16600,0.0873318,0.5880365,0.2171845,0.2278974,655615
16700,0.1045827,0.6136808,0.2172773,0.2705991,655615
16800,0.0990365,0.5594065,0.2356593,0.2545554,655615
16900,0.0580130,0.7716455,0.1261496,0.1453135,655615
17000,0.0967269,0.5970933,0.2191989,0.2186719,655615
17100,0.0485305,0.8262761,0.0986079,0.1887145,655615
17200,0.1228138,0.3344096,0.3399245,0.2995901,655615
17300,0.1147685,0.4563780,0.2863099,0.2401839,655615
17400,0.0897616,0.6394321,0.1980841,0.2164431,655615
17500,0.0822805,0.7021617,0.1685036,0.1632251,655615
17600,0.0637315,0.7675571,0.1312160,0.1799171,655615
17700,0.1222430,0.5429828,0.2561527,0.2198034,655615
17800,0.1069164,0.4557948,0.2818319,0.2548350,672311
17900,0.0498786,0.7764059,0.1193648,0.1696288,672311
18000,0.0995763,0.5702161,0.2316593,0.2252887,672311
18100,0.1124667,0.6558297,0.2051481,0.2059891,672311
18200,0.1018215,0.3980309,0.3018805,0.2309813,672311
18300,0.0818493,0.5996578,0.2092465,0.2029353,672311
18400,0.0757373,0.6695139,0.1776368,0.2259937,672311
18500,0.0989448,0.5929483,0.2221876,0.2517911,672311
18600,0.1044462,0.4494570,0.2828850,0.2181200,672311
18700,0.1303023,0.5531043,0.2569396,0.2245350,672311
18800,0.1718349,0.5924618,0.2661162,0.2432701,672311
18900,0.0536139,0.7144160,0.1464019,0.1806147,672311
19000,0.1115419,0.4365253,0.2923150,0.2694582,672311
19100,0.1361543,0.5098605,0.2777484,0.2614764,672311
19200,0.0965578,0.6296901,0.2060586,0.2458715,672311
19300,0.0895920,0.6415021,0.1971543,0.1884928,672311
19400,0.0333930,0.9690094,0.0324321,0.1703695,672311
19500,0.0763275,0.6977210,0.1667081,0.1961421,672311
19600,0.0988779,0.4417768,0.2826160,0.2218153,672311
19700,0.0872322,0.7029197,0.1711714,0.1661514,672311
19800,0.1184359,0.4850386,0.2770461,0.2429922,672311
19900,0.1131959,0.5088992,0.2643579,0.2296279,672311
20000,0.0937860,0.6476102,0.1972275,0.1857724,704817
20100,0.1145666,0.3929284,0.3115686,0.2286297,704817
20200,0.1071033,0.4141107,0.2986177,0.2338789,704817
20300,0.0682628,0.7271600,0.1500937,0.1796549,704817
20400,0.0768060,0.7764583,0.1355003,0.1840704,704817
20500,0.0969765,0.5830121,0.2249811,0.1935765,704817
20600,0.0624367,0.7322701,0.1445540,0.1823430,704817
