image,colmap_image_id,width,height,valid_fraction,valid_psnr,valid_l1,comparison
L2PRO/camera_0/1778472604.664214_4.jpg,18294,640,405,0.8737114197530864,28.125320166108413,0.02177424542605877,comparison/20_camera_0_1778472604.664214_4.jpg
L2PRO/camera_0/1778472674.720910_3.jpg,19293,640,405,1.0,25.292446838376748,0.03660798817873001,comparison/21_camera_0_1778472674.720910_3.jpg
L2PRO/camera_0/1778472744.577720_3.jpg,20333,640,405,1.0,27.252791924125333,0.028788065537810326,comparison/22_camera_0_1778472744.577720_3.jpg
L2PRO/camera_0/1778472813.635028_1.jpg,21366,640,1108,1.0,25.03310371912585,0.03488706424832344,comparison/23_camera_0_1778472813.635028_1.jpg
L2PRO/camera_0/1778472888.188938_0.jpg,22475,640,1108,0.758169280234657,25.4630982661158,0.03576517105102539,comparison/24_camera_0_1778472888.188938_0.jpg
L2PRO/camera_0/1778472991.225231_4.jpg,23779,640,405,1.0,27.198621786392444,0.02034824714064598,comparison/25_camera_0_1778472991.225231_4.jpg
L2PRO/camera_0/1778473055.985193_0.jpg,24720,640,1108,1.0,22.45477739340258,0.043941568583250046,comparison/26_camera_0_1778473055.985193_0.jpg
L2PRO/camera_0/1778473114.449049_4.jpg,25594,640,405,1.0,28.67579913946129,0.025248689576983452,comparison/27_camera_0_1778473114.449049_4.jpg
L2PRO/camera_0/1778473192.200984_2.jpg,26697,640,1108,1.0,28.990010012337105,0.023635488003492355,comparison/28_camera_0_1778473192.200984_2.jpg
L2PRO/camera_0/1778473239.771572_2.jpg,27407,640,1108,1.0,25.60568666241357,0.03346541151404381,comparison/29_camera_0_1778473239.771572_2.jpg
L2PRO/camera_0/1778473298.235431_3.jpg,28278,640,405,1.0,27.32438599061571,0.029181120917201042,comparison/30_camera_0_1778473298.235431_3.jpg
L2PRO/camera_0/1778473365.493853_4.jpg,29274,640,405,1.0,30.614488647739062,0.019901784136891365,comparison/31_camera_0_1778473365.493853_4.jpg
L2PRO/camera_0/1778473408.267408_4.jpg,29909,640,405,0.9438966049382717,30.259968613120588,0.017335833981633186,comparison/32_camera_0_1778473408.267408_4.jpg
L2PRO/camera_0/1778473462.833676_1.jpg,30721,640,1108,1.0,28.86466091327589,0.023319710046052933,comparison/33_camera_0_1778473462.833676_1.jpg
L2PRO/camera_0/1778473571.466517_0.jpg,32175,640,1108,1.0,26.719370767853256,0.027015630155801773,comparison/34_camera_0_1778473571.466517_0.jpg
L2PRO/camera_0/1778473647.919248_0.jpg,33290,640,1108,1.0,28.7824887288797,0.021591991186141968,comparison/35_camera_0_1778473647.919248_0.jpg
L2PRO/camera_0/1778473724.471923_0.jpg,34375,640,1108,0.9928093975631769,23.84059617800579,0.03772163763642311,comparison/36_camera_0_1778473724.471923_0.jpg
L2PRO/camera_0/1778473780.137507_4.jpg,35209,640,405,0.9621064814814815,27.282193839625673,0.022283418104052544,comparison/37_camera_0_1778473780.137507_4.jpg
L2PRO/camera_0/1778473835.803098_3.jpg,36023,640,405,1.0,28.150900304235865,0.02577740140259266,comparison/38_camera_0_1778473835.803098_3.jpg
L2PRO/camera_0/1778473909.557500_3.jpg,37123,640,405,1.0,26.426495607064382,0.029410837218165398,comparison/39_camera_0_1778473909.557500_3.jpg
L2PRO/camera_0/1778473965.522906_0.jpg,37945,640,1108,0.9645772224729242,27.16749212065774,0.025487106293439865,comparison/40_camera_0_1778473965.522906_0.jpg
L2PRO/camera_0/1778474013.093516_2.jpg,38662,640,1108,1.0,25.68068879194069,0.03404618054628372,comparison/41_camera_0_1778474013.093516_2.jpg
L2PRO/camera_0/1778474090.545621_0.jpg,39820,640,1108,0.9569917644404332,23.815420312104077,0.031333643943071365,comparison/42_camera_0_1778474090.545621_0.jpg
L2PRO/camera_0/1778474143.213063_3.jpg,40573,640,405,1.0,26.022297490882877,0.03480368107557297,comparison/43_camera_0_1778474143.213063_3.jpg
L2PRO/camera_0/1778474197.179695_2.jpg,41277,640,1108,1.0,24.77024334313423,0.03956875577569008,comparison/44_camera_0_1778474197.179695_2.jpg
L2PRO/camera_0/1778474267.736077_4.jpg,42069,640,405,1.0,27.645401505126923,0.025847643613815308,comparison/45_camera_0_1778474267.736077_4.jpg
L2PRO/camera_0/1778474301.914945_4.jpg,42534,640,405,1.0,29.286222775929037,0.022151947021484375,comparison/46_camera_0_1778474301.914945_4.jpg
L2PRO/camera_0/1778474361.278242_1.jpg,43276,640,1108,1.0,25.137018599041685,0.03861653432250023,comparison/47_camera_0_1778474361.278242_1.jpg
L2PRO/camera_0/1778474407.049942_3.jpg,43858,640,405,1.0,25.901575747959154,0.03659594804048538,comparison/48_camera_0_1778474407.049942_3.jpg
L2PRO/camera_0/1778474525.376784_4.jpg,45174,640,405,0.9387962962962964,30.836638864877507,0.019904449582099915,comparison/49_camera_0_1778474525.376784_4.jpg
L2PRO/camera_1/1778471345.742787_1.jpg,45196,640,1108,1.0,27.384284219717664,0.030059274286031723,comparison/50_camera_1_1778471345.742787_1.jpg
L2PRO/camera_1/1778471423.794429_4.jpg,46199,640,405,0.7458989197530864,32.909207627063985,0.015461822971701622,comparison/51_camera_1_1778471423.794429_4.jpg
L2PRO/camera_1/1778471460.371792_0.jpg,46715,640,1108,1.0,26.130434609462654,0.029772842302918434,comparison/52_camera_1_1778471460.371792_0.jpg
L2PRO/camera_1/1778471504.544447_2.jpg,47337,640,1108,0.8880654896209387,26.732444041152057,0.029133809730410576,comparison/53_camera_1_1778471504.544447_2.jpg
L2PRO/camera_1/1778471561.609140_1.jpg,48196,640,1108,1.0,25.320493000541198,0.03496598079800606,comparison/54_camera_1_1778471561.609140_1.jpg
